Plot_Number,Owner_Name,NRC_Number,Location,Plot_Size_sq_m,Land_Use,Title_Deed,Tenure,Registration_Date,Encumbrances,GPS_Coordinates,Ground_Rent_Status
NDL-0072,Beatrice Mulenga,219314/15/8,Chililabombwe Road,10000,Industrial,TDR-2024-7311,Freehold,2008-03-21,None,"-12.971911,28.650379",Paid
NDL-0073,Michael Tembo,594202/41/3,Industrial Area,500,Commercial,TDR-2006-9617,Leasehold (50 yrs),2023-02-16,None,"-12.979827,28.655918",Paid
NDL-0074,Chileshe Tembo,279156/18/7,Kitwe Road,1636,Mixed Use,TDR-2023-6990,Leasehold (99 yrs),2009-03-12,None,"-12.970416,28.641867",Arrears
NDL-0075,Nelson Lungu,564415/23/9,Chipulukusu,10000,Industrial,TDR-2020-6068,Freehold,2014-11-27,None,"-12.960398,28.639872",Paid
NDL-0076,GreenFields Group,652397/12/9,Chifubu,1200,Commercial,TDR-2015-6731,Freehold,2009-11-21,None,"-12.976545,28.626693",Paid
NDL-0077,Patrick Mumba,746326/38/9,Chililabombwe Road,1500,Commercial,TDR-2024-9618,Freehold,2006-12-15,None,"-12.989653,28.633167",Paid
NDL-0078,Patrick Mwanza,169051/37/9,Chililabombwe Road,8000,Industrial,TDR-2014-2512,Leasehold (50 yrs),2018-04-08,None,"-12.970497,28.646912",Paid
NDL-0079,PanAfrican Cement PLC,374987/23/9,Lubuto,800,Commercial,TDR-2021-4402,Leasehold (65 yrs),2007-10-23,Double_Allocation,"-12.962155,28.667861",Paid
NDL-0080,Copperbelt Logistics Holdings,861059/30/1,Mushili,10000,Agricultural,TDR-2019-4095,Leasehold (65 yrs),2022-10-11,None,"-12.990720,28.674172",Paid
NDL-0081,Chipo Phiri,253628/34/6,Lubuto,800,Residential,TDR-2013-2840,Freehold,2016-07-25,None,"-12.995453,28.637777",Paid
NDL-0082,Peter Banda,297430/30/1,Ndeke,2000,Agricultural,TDR-2010-5197,Leasehold (99 yrs),2005-08-22,None,"-12.963140,28.673378",Paid
NDL-0083,Esther Mwape,954005/22/1,Kansenshi,20000,Agricultural,TDR-2008-4972,State Land,2023-11-06,None,"-12.993089,28.625192",Paid
NDL-0084,Michael Mulenga,741990/39/3,Mushili,2000,Industrial,TDR-2008-9078,Freehold,2018-07-31,None,"-12.982811,28.653290",Paid
NDL-0085,Mukuka Kaluba,660981/11/8,Chifubu,10000,Agricultural,TDR-2013-7703,Freehold,2017-06-14,None,"-12.980850,28.654215",Paid
NDL-0086,Central Agro Resources,469743/48/9,Railway Line,366,Mixed Use,TDR-2011-8293,Leasehold (50 yrs),2017-07-03,None,"-12.969316,28.628544",Paid
NDL-0087,Mukuka Sitali,776114/21/6,Lubuto,400,Commercial,TDR-2008-4972,Leasehold (65 yrs),2008-09-06,None,"-12.984669,28.658331",Paid
NDL-0088,Esther Lungu,840259/24/7,Northrise,3000,Agricultural,TDR-2006-9007,State Land,2013-09-11,Boundary_Dispute,"-12.960612,28.670123",Paid
NDL-0089,Mwansa Sitali,798677/29/8,Garden,1500,Agricultural,TDR-2010-7146,Leasehold (99 yrs),2011-06-22,None,"-12.962544,28.640535",Paid
NDL-0090,Esther Kaluba,970953/27/3,Itawa,1200,Commercial,TDR-2008-8368,State Land,2016-05-11,None,"-12.994147,28.623454",Paid
NDL-0091,Brian Ndalama,153065/20/9,Chililabombwe Road,10000,Industrial,TDR-2013-5044,State Land,2015-10-22,None,"-12.975079,28.636376",Paid
NDL-0092,Patrick Mwape,467619/41/1,Kitwe Road,1500,Agricultural,TDR-2018-4557,Leasehold (99 yrs),2013-12-11,None,"-12.970289,28.650391",Paid
NDL-0093,Peter Kapasa,133234/31/3,Chililabombwe Road,350,Residential,TDR-2018-8584,State Land,2017-02-16,None,"-12.984438,28.626213",Paid
NDL-0094,Mukuka Sichone,953646/48/6,Garden,2000,Agricultural,TDR-2005-5789,State Land,2016-08-09,None,"-12.993015,28.629967",Paid
NDL-0095,Chibwe Mumba,883185/48/3,Chifubu,5000,Agricultural,TDR-2009-8974,Leasehold (50 yrs),2007-05-04,None,"-12.970059,28.647507",Paid
NDL-0096,George Mulenga,309024/20/9,Itawa,20000,Industrial,TDR-2018-5999,Leasehold (50 yrs),2014-12-04,None,"-12.960603,28.625760",Paid
NDL-0097,Kansenshi Traders PLC,815166/32/2,Garden,5000,Agricultural,TDR-2012-6422,Freehold,2009-07-13,None,"-12.990869,28.631075",Arrears
NDL-0098,David Mumba,965531/47/8,Chifubu,8000,Agricultural,TDR-2007-5978,Leasehold (65 yrs),2010-12-16,None,"-12.965259,28.638903",Paid
NDL-0099,Patrick Mulenga,835526/20/7,Kitwe Road,800,Commercial,TDR-2016-8581,Leasehold (65 yrs),2019-05-09,None,"-12.996834,28.648324",Paid
NDL-0100,PanAfrican Cement Industrial,834726/29/3,Twapia,8000,Agricultural,TDR-2022-9929,Leasehold (50 yrs),2021-11-23,None,"-12.991127,28.635309",Paid
NDL-0101,Ndola Minerals Enterprises,925690/50/6,Town Centre,500,Commercial,TDR-2007-5087,Leasehold (65 yrs),2019-03-08,Auctioned,"-12.965930,28.652937",Paid
NDL-0102,Michael Phiri,133089/23/8,Chifubu,250,Commercial,TDR-2011-2591,Leasehold (65 yrs),2015-04-16,None,"-12.992465,28.641069",Paid
NDL-0103,Mary Kaluba,450027/32/4,Northrise,400,Residential,TDR-2024-4574,Leasehold (65 yrs),2016-01-25,None,"-12.974551,28.652503",Paid
NDL-0104,Patricia Chanda,887140/30/7,Northrise,2000,Industrial,TDR-2017-4652,Freehold,2010-04-17,Boundary_Dispute,"-12.988115,28.627240",Paid
NDL-0105,Mulenga Chanda,713626/33/8,Masala,1500,Commercial,TDR-2014-5282,Leasehold (65 yrs),2006-11-01,None,"-12.970738,28.623805",Paid
NDL-0106,Beatrice Lungu,421743/40/6,Itawa,2000,Agricultural,TDR-2015-3359,Leasehold (99 yrs),2006-12-13,Mortgaged,"-12.980591,28.624217",Paid
NDL-0107,James Mwanza,276697/29/3,Mushili,20000,Agricultural,TDR-2014-8738,State Land,2010-12-14,None,"-12.995919,28.645366",Paid
NDL-0108,Michael Kaunda,461014/32/5,Chifubu,10000,Industrial,TDR-2014-2868,Freehold,2015-04-29,None,"-12.986966,28.645042",Paid
NDL-0109,Peter Mwape,750639/41/2,Mushili,2000,Industrial,TDR-2010-8203,Leasehold (99 yrs),2005-03-05,Double_Allocation,"-12.970228,28.633696",Paid
NDL-0110,Chibwe Phiri,545954/17/8,Chifubu,5000,Industrial,TDR-2022-8039,Leasehold (65 yrs),2021-11-03,None,"-12.961345,28.628914",Paid
NDL-0111,PanAfrican Cement Ltd,451641/29/9,Lubuto,300,Residential,TDR-2012-4075,Leasehold (65 yrs),2018-09-04,None,"-12.984118,28.644060",Paid
NDL-0112,Esther Mwape,665713/29/1,Mapalo,1000,Commercial,TDR-2021-2494,State Land,2018-01-12,None,"-12.983725,28.644260",Paid
NDL-0113,Ndola Minerals Enterprises,906536/49/4,Chipulukusu,400,Residential,TDR-2021-6468,State Land,2022-07-22,None,"-12.992141,28.624630",Paid
NDL-0114,Moses Tembo,933891/21/2,Chifubu,2000,Industrial,TDR-2006-6248,Leasehold (99 yrs),2018-08-02,None,"-12.964394,28.667355",Paid
NDL-0115,Faith Mumba,924398/50/6,Kabushi,1500,Commercial,TDR-2023-2750,Freehold,2013-04-25,None,"-12.964586,28.638501",Paid
NDL-0116,Moses Sitali,380138/34/9,Industrial Area,20000,Industrial,TDR-2011-3188,Leasehold (50 yrs),2005-08-14,None,"-12.964056,28.646411",Paid
NDL-0117,Mutale Kapasa,257726/41/8,Ndeke,2000,Industrial,TDR-2020-9090,Leasehold (50 yrs),2014-10-03,None,"-12.973103,28.660391",Paid
NDL-0118,Ruth Mwape,335426/41/5,Chililabombwe Road,5000,Industrial,TDR-2013-5376,Leasehold (65 yrs),2017-12-29,None,"-12.972817,28.628610",Paid
NDL-0119,Copperbelt Logistics Resources,613675/32/6,Twapia,1200,Commercial,TDR-2007-4511,Leasehold (65 yrs),2021-06-18,None,"-12.965096,28.665878",Paid
NDL-0120,GreenFields Group,976464/42/8,Mapalo,350,Residential,TDR-2023-7858,State Land,2011-06-30,None,"-12.996184,28.629622",Paid
NDL-0121,Mulenga Sichone,218795/17/8,Chipulukusu,1500,Agricultural,TDR-2023-5174,Leasehold (99 yrs),2011-07-18,None,"-12.967818,28.658040",Paid
NDL-0122,Joseph Chola,512232/25/1,Ndeke,1000,Commercial,TDR-2014-4878,Leasehold (99 yrs),2008-09-22,Double_Allocation,"-12.966503,28.662684",Paid
NDL-0123,Nelson Tembo,579854/14/5,Garden,400,Commercial,TDR-2008-2910,Leasehold (65 yrs),2017-12-30,None,"-12.996786,28.620926",Paid
NDL-0124,Chibwe Mwape,791717/13/4,Chifubu,5000,Agricultural,TDR-2019-7502,State Land,2012-07-19,None,"-12.990851,28.668866",Paid
NDL-0125,Chanda Ndalama,279833/24/2,Mushili,3000,Industrial,TDR-2008-5849,Leasehold (65 yrs),2011-07-31,None,"-12.975564,28.665214",Paid
NDL-0126,Patricia Mwape,240819/36/8,Lubuto,8000,Industrial,TDR-2008-6608,Freehold,2005-05-14,None,"-12.994228,28.658875",Paid
NDL-0127,Nelson Ndalama,832829/30/3,Kabushi,759,Mixed Use,TDR-2019-6324,Leasehold (50 yrs),2006-02-28,None,"-12.963759,28.669305",Paid
NDL-0128,Patricia Sichone,740614/50/6,Ndeke,800,Commercial,TDR-2020-8186,Freehold,2008-07-17,None,"-12.976547,28.632266",Paid
NDL-0129,Mulenga Tembo,912647/47/6,Lubuto,2000,Industrial,TDR-2008-1081,Leasehold (65 yrs),2009-01-26,None,"-12.967586,28.649398",Paid
NDL-0130,Chileshe Chanda,423907/13/2,Town Centre,1200,Commercial,TDR-2015-7288,Leasehold (65 yrs),2007-12-20,Boundary_Dispute,"-12.985681,28.662957",Paid
NDL-0131,Mercy Tembo,333688/19/1,Mushili,1000,Commercial,TDR-2018-5910,Leasehold (65 yrs),2020-03-01,None,"-12.992811,28.662541",Paid
NDL-0132,Nchimunya Phiri,499384/40/8,Kansenshi,20000,Industrial,TDR-2011-6549,Leasehold (65 yrs),2023-08-15,None,"-12.960997,28.673627",Arrears
NDL-0133,Victor Chanda,750913/20/3,Industrial Area,20000,Agricultural,TDR-2018-7360,State Land,2018-09-22,None,"-12.960384,28.621593",Paid
NDL-0134,Nelson Kaluba,998555/24/3,Chipulukusu,1153,Mixed Use,TDR-2018-1494,Leasehold (65 yrs),2020-07-30,None,"-12.992325,28.665023",Paid
NDL-0135,Angela Zulu,136079/42/2,Garden,300,Residential,TDR-2019-9613,Freehold,2021-04-30,None,"-12.972453,28.627399",Paid
NDL-0136,Rose Phiri,621559/29/7,Mapalo,10000,Industrial,TDR-2011-9285,Leasehold (50 yrs),2013-05-08,None,"-12.987476,28.639106",Paid
NDL-0137,Nchimunya Ndalama,481194/40/6,Chililabombwe Road,1000,Residential,TDR-2021-5626,Leasehold (99 yrs),2018-01-26,None,"-12.966016,28.658191",Paid
NDL-0138,George Phiri,286731/34/3,Masala,8000,Agricultural,TDR-2017-7698,Freehold,2020-07-17,None,"-12.994720,28.641682",Paid
NDL-0139,Mukuka Zulu,940757/36/2,Mapalo,2000,Industrial,TDR-2017-9326,State Land,2010-09-06,None,"-12.975819,28.644549",Paid
NDL-0140,Simon Phiri,879895/35/1,Mushili,800,Residential,TDR-2020-1256,State Land,2018-07-01,None,"-12.960823,28.624005",Paid
NDL-0141,GreenFields PLC,878253/43/5,Garden,1200,Commercial,TDR-2023-7789,Leasehold (99 yrs),2018-06-17,None,"-12.990366,28.622141",Paid
NDL-0142,Thandiwe Mulilo,794949/43/9,Chifubu,1347,Mixed Use,TDR-2012-2330,Leasehold (50 yrs),2006-09-27,Boundary_Dispute,"-12.988746,28.650988",Paid
NDL-0143,Patricia Tembo,146283/18/7,Kabushi,2000,Agricultural,TDR-2012-4295,Leasehold (99 yrs),2008-11-12,None,"-12.969399,28.656436",Paid
NDL-0144,James Mulilo,798514/10/2,Mapalo,1000,Commercial,TDR-2012-9680,Leasehold (50 yrs),2023-12-03,None,"-12.971934,28.634127",Paid
NDL-0145,Victor Ndalama,528273/48/7,Lubuto,1000,Residential,TDR-2015-5905,Leasehold (65 yrs),2020-08-06,Mortgaged,"-12.992201,28.641272",Paid
NDL-0146,Ndola Minerals Industrial,800411/18/1,Garden,1200,Commercial,TDR-2017-9275,Leasehold (65 yrs),2007-03-01,None,"-12.966638,28.622562",Paid
NDL-0147,Chanda Tembo,492649/16/9,Garden,250,Residential,TDR-2022-4903,Leasehold (50 yrs),2023-03-21,None,"-12.962829,28.663005",Paid
NDL-0148,Peter Kaunda,477619/30/8,Kabushi,3000,Industrial,TDR-2023-6199,Leasehold (99 yrs),2011-09-13,None,"-12.987536,28.621049",Paid
NDL-0149,Faith Mumba,469150/43/8,Chipulukusu,300,Commercial,TDR-2021-6120,Leasehold (99 yrs),2005-07-09,None,"-12.980844,28.655484",Paid
NDL-0150,Kansenshi Traders Group,836921/29/7,Northrise,1500,Commercial,TDR-2015-4333,State Land,2020-12-22,None,"-12.974140,28.641602",Paid
NDL-0151,Mutale Kapasa,535806/17/9,Industrial Area,20000,Industrial,TDR-2019-9734,Leasehold (50 yrs),2019-12-09,None,"-12.976231,28.667582",Paid
NDL-0152,Victor Ndalama,343082/43/4,Lubuto,5000,Industrial,TDR-2014-9204,State Land,2021-01-04,None,"-12.993091,28.628433",Paid
NDL-0153,Victor Banda,514759/21/4,Chifubu,1164,Mixed Use,TDR-2018-8239,Leasehold (99 yrs),2024-07-02,None,"-12.993729,28.651423",Paid
NDL-0154,Michael Sitali,245101/41/4,Industrial Area,460,Mixed Use,TDR-2005-3347,Freehold,2007-04-01,None,"-12.992579,28.633686",Arrears
NDL-0155,Chipo Mulenga,975352/37/8,Railway Line,700,Residential,TDR-2012-4617,State Land,2022-07-30,None,"-12.960175,28.625910",Paid
NDL-0156,Mulenga Ndalama,510341/38/1,Twapia,250,Commercial,TDR-2016-3258,Leasehold (99 yrs),2012-07-29,None,"-12.960416,28.620193",Paid
NDL-0157,Mukuka Chanda,943151/36/6,Kitwe Road,300,Residential,TDR-2024-4828,Leasehold (99 yrs),2019-03-23,None,"-12.964406,28.661979",Paid
NDL-0158,Rose Kaluba,558282/44/5,Industrial Area,1200,Commercial,TDR-2005-7459,Freehold,2019-05-26,None,"-12.964909,28.652934",Paid
NDL-0159,Mukuka Mwape,241741/34/3,Lubuto,1500,Agricultural,TDR-2009-9469,State Land,2011-11-26,None,"-12.972174,28.644601",Paid
NDL-0160,UrbanDevelopers Resources,596216/20/9,Town Centre,400,Commercial,TDR-2005-8268,Freehold,2017-05-22,None,"-12.965137,28.632222",Paid
NDL-0161,Michael Kaluba,927326/45/7,Town Centre,20000,Industrial,TDR-2018-6156,Freehold,2022-10-07,None,"-12.971733,28.621874",Paid
NDL-0162,Beatrice Tembo,294128/28/4,Town Centre,250,Commercial,TDR-2013-5136,Leasehold (65 yrs),2013-06-17,Double_Allocation,"-12.978287,28.668618",Paid
NDL-0163,Mulenga Mulenga,678674/24/6,Twapia,300,Commercial,TDR-2015-4936,Leasehold (50 yrs),2023-09-20,Auctioned,"-12.973227,28.672390",Paid
NDL-0164,Alice Phiri,685537/16/3,Town Centre,2000,Industrial,TDR-2009-8821,State Land,2008-03-22,None,"-12.975716,28.642047",Arrears
NDL-0165,Lubuto Cooperative Ltd,498734/42/6,Itawa,8000,Industrial,TDR-2013-3561,Freehold,2010-07-01,None,"-12.970724,28.627815",Paid
NDL-0166,Alice Kapasa,983795/38/6,Mapalo,600,Residential,TDR-2016-9818,Leasehold (99 yrs),2007-09-24,None,"-12.978288,28.627650",Paid
NDL-0167,Nchimunya Lungu,101998/28/3,Kabushi,350,Residential,TDR-2020-6712,Freehold,2014-09-17,None,"-12.994268,28.647653",Paid
